logdensity,dataset,model
-1.47629350032474,in-sample,functional
-1.44782504171553,in-sample,functional
-1.45605747614469,in-sample,functional
-1.4576025176707,in-sample,functional
-1.46570663365859,in-sample,functional
-1.47163740559592,in-sample,functional
-1.44075894383841,in-sample,functional
-1.51392293098355,in-sample,functional
-1.45256799498175,in-sample,functional
-1.45641431174205,in-sample,functional
-1.4697925948528,in-sample,functional
-1.48792775818772,in-sample,functional
-1.48012618278408,in-sample,functional
-1.45133137897375,in-sample,functional
-1.51927256743266,in-sample,functional
-1.44329166036028,in-sample,functional
-1.490429603304,in-sample,functional
-1.48833131216995,in-sample,functional
-1.4504213538406,in-sample,functional
-1.44741124419102,in-sample,functional
-1.4763666352147,in-sample,functional
-1.47691472059871,in-sample,functional
-1.52434777122058,in-sample,functional
-1.47569426552649,in-sample,functional
-1.48235097294262,in-sample,functional
-1.49175498226355,in-sample,functional
-1.50140008344312,in-sample,functional
-1.45291228486727,in-sample,functional
-1.46873630159902,in-sample,functional
-1.48942239076398,in-sample,functional
-1.44175420753863,in-sample,functional
-1.45123382249992,in-sample,functional
-1.46331989016339,in-sample,functional
-1.4829814483053,in-sample,functional
-1.48409698306416,in-sample,functional
-1.45387726496903,in-sample,functional
-1.43788325367674,in-sample,functional
-1.47459435161469,in-sample,functional
-1.50836577728442,in-sample,functional
-1.48719182515737,in-sample,functional
-1.48282176778385,in-sample,functional
-1.47484569352756,in-sample,functional
-1.47965851919612,in-sample,functional
-1.49033345606056,in-sample,functional
-1.46243711933719,in-sample,functional
-1.50052837612448,in-sample,functional
-1.46087680595479,in-sample,functional
-1.46514378953438,in-sample,functional
-1.42875295098087,in-sample,functional
-1.48961803825813,in-sample,functional
-1.51316788410538,in-sample,functional
-1.46404666225496,in-sample,functional
-1.44044209062982,in-sample,functional
-1.45540981791586,in-sample,functional
-1.5389743746261,in-sample,functional
-1.44825955227344,in-sample,functional
-1.47714037427518,in-sample,functional
-1.46216051038633,in-sample,functional
-1.50003236270948,in-sample,functional
-1.47085805551486,in-sample,functional
-1.48013910225835,in-sample,functional
-1.48265103754608,in-sample,functional
-1.49178722675425,in-sample,functional
-1.52034847281466,in-sample,functional
-1.50767391278585,in-sample,functional
-1.50480445789036,in-sample,functional
-1.47335002580554,in-sample,functional
-1.44349149640643,in-sample,functional
-1.49188820540156,in-sample,functional
-1.4734920183429,in-sample,functional
-1.44319714030288,in-sample,functional
-1.4786205034511,in-sample,functional
-1.50846401523525,in-sample,functional
-1.45351193084851,in-sample,functional
-1.45576952033091,in-sample,functional
-1.52037412402466,in-sample,functional
-1.44763373244467,in-sample,functional
-1.47823790511118,in-sample,functional
-1.45820253466706,in-sample,functional
-1.47113308091609,in-sample,functional
-1.47012988229395,in-sample,functional
-1.46513186681258,in-sample,functional
-1.47396349371277,in-sample,functional
-1.5074950160015,in-sample,functional
-1.47065460200154,in-sample,functional
-1.50024387402022,in-sample,functional
-1.47671208930145,in-sample,functional
-1.45230014544538,in-sample,functional
-1.46553151715614,in-sample,functional
-1.45754806139366,in-sample,functional
-1.53679001335093,in-sample,functional
-1.46501991209497,in-sample,functional
-1.43272214290821,in-sample,functional
-1.46595972268967,in-sample,functional
-1.48077941527977,in-sample,functional
-1.53990224003806,in-sample,functional
-1.493882318509,in-sample,functional
-1.47181785385453,in-sample,functional
-1.48021539484492,in-sample,functional
-1.47428653939503,in-sample,functional
-1.52125229210965,in-sample,functional
-1.53311452187329,in-sample,functional
-1.44427500055324,in-sample,functional
-1.48496906083524,in-sample,functional
-1.4813029336969,in-sample,functional
-1.46590120319248,in-sample,functional
-1.49272264865659,in-sample,functional
-1.49920339760895,in-sample,functional
