method,34,35,36,37,38,39,40,41,42
pensp,-0.039669517,-0.122330145,-0.141574167,-0.286608679,-0.418002813,-0.63595373,-0.645843005,-0.712771587,-0.843871776
sp1,-0.039708048,-0.121239641,-0.141628407,-0.288159733,-0.41754774,-0.632037072,-0.647837545,-0.729773291,-0.849373131
sp2,-0.054323992,-0.12299198,-0.152246714,-0.311195423,-0.435887629,-0.653707933,-0.723396704,-0.706881245,-0.644363145
tsb,-0.03980201,-0.116992387,-0.134024339,-0.301189777,-0.432753732,-0.626882208,-0.645380663,-0.636008231,-0.567801956
tsb_default,-0.040730144,-0.117785512,-0.135922875,-0.295367855,-0.431080107,-0.634170267,-0.632875448,-0.657668107,-0.628409529
vb,-0.072432201,-0.130460762,-0.146046194,-0.287003484,-0.447146085,-0.705808371,-0.751914986,-0.90791742,-1.154059537
